"","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_timonensis",81.9090909090909,-7.00158555695675,1.84006290791205,-3.80507944964858,0.00014175868109849,0.00464504864066898
"2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_baumannii",73.9090909090909,-6.85262247927658,1.64271108213906,-4.17153238556925,3.0255804465851e-05,0.00148803547418413
"3","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA,54.7272727272727,-6.4166297552967,1.63167608370291,-3.93253895144119,8.40533545212394e-05,0.00324806177114218
"4","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,26.3636363636364,-5.35250784397776,1.26546483323102,-4.22967727227281,2.34026801396587e-05,0.00126608499555554
"5","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA,24.1818181818182,-5.2260582758496,1.36965194010701,-3.81561046483188,0.000135846665761471,0.00464504864066898
"6","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",NA,27.8181818181818,-4.6092858919588,1.21365996278272,-3.79783962007817,0.000145962711444312,0.00464504864066898
"7","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA,24.8181818181818,-4.24248907681453,1.13434851673133,-3.74002258938851,0.000184003717920911,0.00553033396640072
"8","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","gut_metagenome",9.18181818181818,4.55457806700968,1.2481075781085,3.6491870948433,0.000263071460416159,0.00677722190881629
"9","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","metagenome",9.36363636363636,4.58495138382996,1.27019644929094,3.60963958479761,0.000306622741911974,0.00754013197156263
"10","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus_pettenkoferi",9.45454545454546,4.59990204460602,1.24312075444014,3.70028577527665,0.00021535681186995,0.00613200185377069
"11","d__Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Thermus","Thermus_thermophilus",9.81818181818182,4.65820011368233,1.26966458042732,3.66884308304054,0.000243650563054144,0.0065907477306146
"12","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,13.0909090909091,5.09802093237482,1.2037092130408,4.23525954370347,2.28287874001782e-05,0.00126608499555554
"13","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","unidentified",15.6363636363636,5.36630755229917,1.33510732581429,4.01938289794511,5.83507748149846e-05,0.00242828993653128
"14","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_uniformis",16.1818181818182,5.4178374741897,1.3452131100313,4.02749381030316,5.63745510720681e-05,0.00242828993653128
"15","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,34.8181818181818,5.63828398800307,1.16673268147718,4.83254140174125,1.34801066416554e-06,0.00018231844232839
"16","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","uncultured_bacterium",20.8181818181818,5.7943995313591,1.35556947165658,4.27451314928038,1.9155540068743e-05,0.00126608499555554
"17","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,21.6363636363636,5.85173258026982,1.35385045559378,4.32228874030503,1.54418917466016e-05,0.00119343763355878
"18","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA,22.3636363636364,5.90085194899765,1.2856002529406,4.58995860921809,4.4333391291961e-06,0.000399739411482515
"19","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,325.727272727273,6.11898699809683,1.03401646732673,5.91768815241061,3.2649826273411e-09,1.76635560139153e-06
"20","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus",NA,27.8181818181818,6.22398610518253,1.28169637104233,4.85605346617384,1.19748380968766e-06,0.00018231844232839
"21","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA,28.8181818181818,6.27610752172792,1.32593499402712,4.73334480951147,2.20849836013854e-06,0.00023895952256699
"22","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",NA,40.3636363636364,6.7714729222955,1.26803736371872,5.34012097438286,9.28845789868452e-08,2.51252786159416e-05
